,Country,Country_codes,Year,Population,Gini_Index,Average Income (USD),Top 10% Income Share (%),Bottom 10% Income Share (%),Income Group
18,United States,USA,2018,169925740,0.3178231938331004,13504.42602217655,35.35625194052277,4.901780141487368,Low Income
19,United States,USA,2019,127984406,0.2147068218123479,17780.038318272866,41.45400523445053,4.343832592197286,High Income
20,United States,USA,2020,62925673,0.3849467536683992,43589.33579369067,22.87046994411204,2.4479617927396387,Lower Middle Income
21,United States,USA,2021,341744580,0.604786096831604,58623.76841789528,46.03372757352536,1.2907521185959543,Low Income
22,United States,USA,2022,98758611,0.3524372211442452,8918.425828623669,25.20546634462489,3.5735286181723054,Low Income
23,United States,USA,2023,253261013,0.4544121296559476,58864.345034106,55.169908044375966,1.082057139398818,Lower Middle Income
24,India,IND,2000,43431525,0.2932446424167425,28036.1058196862,40.38898746401432,4.784529082713614,Upper Middle Income
25,India,IND,2001,107388316,0.6293143270533464,3073.3782519960982,37.7192970655944,1.944926675463912,Low Income
26,India,IND,2002,68695029,0.3521773589681045,48126.49719220786,52.26064478292697,4.4358959649782825,Low Income
27,India,IND,2003,223780861,0.3209586429972125,22025.16648229405,46.38807259394376,4.114987241816552,Upper Middle Income
28,India,IND,2004,44849021,0.226336488483158,29734.99785450689,26.029489963019397,1.8610025380481416,Low Income
29,India,IND,2005,79830236,0.6160213361875634,61976.6258098783,52.72503416754453,2.358824077145302,Upper Middle Income
30,India,IND,2006,258667151,0.2691696490283201,48478.23100524126,20.68087047254652,3.662832218326225,Upper Middle Income
31,India,IND,2007,334195724,0.2099147919073524,9404.80316480118,47.4335546443094,1.8554062640490527,Low Income
32,India,IND,2008,193910247,0.3179914163096808,22372.85148165633,48.20771981385575,1.2111465400292616,High Income
33,India,IND,2009,311089564,0.4576042188232583,24083.46882292668,48.13169579876438,4.362971713106705,Lower Middle Income
34,India,IND,2010,37209823,0.4212682003650029,53157.15386192226,43.27380529401025,4.079597997782429,High Income
35,India,IND,2011,244260718,0.5008682197749921,5207.7685443439,25.41568189220433,3.689136429374984,Low Income
36,India,IND,2012,288327384,0.6285803281116806,6934.132721020367,44.05692771344802,3.1268286221140627,Upper Middle Income
37,India,IND,2013,59909873,0.4652578672610568,1833.4319735857923,38.49213049439794,1.437148353644322,Low Income
38,India,IND,2014,222608132,0.2653490996837278,21317.311154462328,48.01101431585283,2.1494742863354683,High Income
39,India,IND,2015,5938668,0.2867707797577425,10797.627054340035,59.55942173361932,1.865265363546268,Lower Middle Income
40,India,IND,2016,238406949,0.2122005565567253,55753.544562954936,39.20510819377382,2.6565686506489943,Lower Middle Income
41,India,IND,2017,127635927,0.332418583912355,63876.61441872696,55.16691766515291,4.727352784279034,Low Income
42,India,IND,2018,185591199,0.36175420466561,69106.96568172026,38.69678482728503,2.11783905171742,High Income
43,India,IND,2019,191752879,0.2023972907944161,38893.378363792894,44.56897770603764,4.075205505322551,High Income
44,India,IND,2020,178534033,0.5762765468161071,50662.783297376816,38.41522948048612,1.7547504089992612,Upper Middle Income
45,India,IND,2021,188608292,0.5047153230158506,39024.09714229444,58.51246212342466,3.454091787835248,Low Income
46,India,IND,2022,170965875,0.5230447880732216,67030.93034497915,24.02190893170232,2.353912053113826,Upper Middle Income
47,India,IND,2023,225998047,0.6205491347778558,62898.34019090723,43.86277078858468,4.175110926532832,Upper Middle Income
48,Brazil,BRA,2000,93525256,0.5445851416650389,18954.395103530227,51.13898550938332,2.998855032795112,Lower Middle Income
49,Brazil,BRA,2001,137409895,0.4157192504535987,19002.94775007284,27.728401966719595,3.785641457596727,Lower Middle Income
50,Brazil,BRA,2002,219377972,0.4187259052502932,47250.5352506234,49.89192187214872,2.2728378671840224,High Income
51,Brazil,BRA,2003,260193288,0.2965472390242214,67807.97939449183,25.47407711510691,3.0008077391481067,High Income
52,Brazil,BRA,2004,10134125,0.2365968459466682,31560.71793389259,36.63824391411922,3.832267619210345,Low Income
53,Brazil,BRA,2005,335779016,0.5997601757360022,22658.905638655822,23.379108746287542,4.832540865236556,Low Income
54,Brazil,BRA,2006,85174058,0.5006260017681718,3541.0455993330597,32.752528516460366,3.058232526552784,High Income
55,Brazil,BRA,2007,321507436,0.4510875340021527,16544.705305522744,25.124672601319823,1.7939086529432426,Lower Middle Income
56,Brazil,BRA,2008,160642132,0.5316441457095018,50266.48328839037,50.47689323029913,4.51285982542438,Low Income
57,Brazil,BRA,2009,281958236,0.6106190039871481,65707.14020251855,33.40073742875409,1.1418685057872553,High Income
58,Brazil,BRA,2010,287120431,0.3084191670148222,34696.16829062319,55.95739344985641,3.363712161212098,High Income
59,Brazil,BRA,2011,5493471,0.2993207020014585,48859.68171359443,38.46982366959979,4.303664434747288,Low Income
60,Brazil,BRA,2012,229640099,0.4428344597656195,51210.44644377562,30.477061573491344,2.156946732174414,High Income
61,Brazil,BRA,2013,148172053,0.5657091167579151,8456.357104593073,29.515674240020573,4.043751301536037,Upper Middle Income
62,Brazil,BRA,2014,305714714,0.2655965275425412,18722.283850146687,42.463474812339626,4.883253363209623,Upper Middle Income
63,Brazil,BRA,2015,275874032,0.2705699988306125,60340.78511061643,24.80710480131675,1.669380284334144,Low Income
64,Brazil,BRA,2016,329733049,0.3018105627258173,6883.005893971571,47.04410734016486,3.764717138863666,Upper Middle Income
65,Brazil,BRA,2017,306824701,0.4181464656415989,33031.194236983254,52.8254011895648,1.4204240261762342,Lower Middle Income
66,Brazil,BRA,2018,69902271,0.3404321143275844,20999.40202280053,46.94831000898215,1.055415962318888,High Income
67,Brazil,BRA,2019,329453120,0.4891704413177203,9324.442693061075,47.28692073858297,2.9165593514015606,High Income
68,Brazil,BRA,2020,195057228,0.445538893670504,49528.46810407515,56.41708291160929,1.3223859344091458,Low Income
69,Brazil,BRA,2021,6604029,0.2552253720184509,10839.879169555648,39.64864887988186,3.66841972724513,Upper Middle Income
70,Brazil,BRA,2022,158300830,0.5825266414229948,54914.81217010628,42.08188594856482,3.1767848078302463,Upper Middle Income
71,Brazil,BRA,2023,56450840,0.3313612622584283,48429.067558333554,36.768042835394446,1.966355574503524,Low Income
72,Germany,DEU,2000,226889922,0.6017790932640162,39127.44123236965,39.34768493123828,2.47774377709176,Upper Middle Income
73,Germany,DEU,2001,72413433,0.3145061156810922,51328.0411855075,25.88310425665203,3.386175465682432,High Income
74,Germany,DEU,2002,270637826,0.6308357462979612,48330.94226192313,49.33413223767672,3.6573301861555794,High Income
75,Germany,DEU,2003,164760421,0.3431940276994311,4875.363755703037,51.85116834093715,2.3228608413900345,Upper Middle Income
76,Germany,DEU,2004,211295649,0.4010468963889896,67400.62312572148,47.11042884872633,2.159661701138495,High Income
77,Germany,DEU,2005,231798922,0.6371924900384944,69381.27242316821,35.15260957210643,4.483976202729918,Low Income
78,Germany,DEU,2006,52205589,0.4972560464022636,15930.29786510232,57.33128078829261,1.1721822190192102,Upper Middle Income
79,Germany,DEU,2007,220470684,0.5502874329713913,14623.96151949905,51.78730566519266,3.1525876358227523,Upper Middle Income
80,Germany,DEU,2008,216296778,0.4505653350717344,41058.55851748752,34.280762506207914,4.951110311320862,High Income
81,Germany,DEU,2009,149088616,0.5654927995964398,24723.085090532608,54.21689119297068,3.387210396906108,High Income
82,Germany,DEU,2010,54373053,0.4346485058104403,57435.894023238594,22.02052846382965,1.4432942497532433,Upper Middle Income
83,Germany,DEU,2011,96755642,0.5494227334218416,57912.77730862245,26.86568907521135,1.866316484581364,High Income
84,Germany,DEU,2012,183243437,0.4873994473532017,36633.74093791853,50.817271671639695,4.382071012751995,High Income
85,Germany,DEU,2013,134501554,0.3304047318334266,69704.39163067969,47.520293373111286,2.969049129652201,High Income
86,Germany,DEU,2014,312468439,0.6440249444666646,51765.80055509289,45.89211055344954,1.2346817486964865,High Income
87,Germany,DEU,2015,118663831,0.4041384945770438,10494.780898970155,39.84316496777734,3.2240935213753583,Low Income
88,Germany,DEU,2016,45365130,0.2010203333358485,36124.22825677884,58.34889503550891,2.5039346108490377,Lower Middle Income
89,Germany,DEU,2017,129972450,0.4470985614219577,36892.24596305932,28.35756986796882,1.9813443061928075,Lower Middle Income
90,Germany,DEU,2018,104576256,0.5162917351183464,39487.80076799852,34.44367959667618,3.988734462572031,High Income
91,Germany,DEU,2019,206814497,0.4611999247242191,25472.399555774657,39.47369899856948,4.444589483214134,Low Income
92,Germany,DEU,2020,209829174,0.5434176167107962,56354.7294084066,25.833764791439204,2.6920764884936377,Low Income
93,Germany,DEU,2021,110871647,0.4382943454255933,48077.80527248554,34.10232171833166,3.597259767259504,High Income
94,Germany,DEU,2022,82827615,0.391549623989857,25941.48092575865,41.62226308660468,3.5675857545504144,Low Income
95,Germany,DEU,2023,146444811,0.633543900631536,66369.8511167657,57.80261181235371,4.866636966852529,High Income
96,Nigeria,NGA,2000,302722699,0.3146447579884162,22848.66380239774,37.04572342084057,3.946128051339417,Upper Middle Income
97,Nigeria,NGA,2001,32242628,0.2511032353663349,19753.051072724847,35.25069316063486,3.469692578693384,Low Income
98,Nigeria,NGA,2002,19906678,0.4230045162466203,33409.16779195187,30.12993858095324,4.590659468546937,Upper Middle Income
99,Nigeria,NGA,2003,168754766,0.4652984737831946,43448.25315737855,58.46185173152107,1.4888137201009686,High Income
100,Nigeria,NGA,2004,248007847,0.6283028716104873,61877.8957640114,21.841387034119425,2.093132687735081,Low Income
101,Nigeria,NGA,2005,52267586,0.3247438731029132,68883.93639718529,58.26668906596608,3.730816903437269,Upper Middle Income
102,Nigeria,NGA,2006,348813486,0.518359030462175,4912.475605010184,32.934309833232064,2.788465175661633,Low Income
103,Nigeria,NGA,2007,35727638,0.5543555622234766,28665.96591598092,44.9335629101188,3.243458131127206,Low Income
104,Nigeria,NGA,2008,13891933,0.4420120174614483,12413.326841741502,57.138678587059815,4.379308237212353,Low Income
105,Nigeria,NGA,2009,339373472,0.5433611908199496,7963.868329306588,36.032553429454296,4.32427976238439,High Income
106,Nigeria,NGA,2010,18569278,0.32759537264031,38159.84567132931,42.86316565996559,1.6860768699711968,Low Income
107,Nigeria,NGA,2011,315705178,0.2011444855799446,38174.158876985886,23.534703519162026,4.080385756666638,High Income
108,Nigeria,NGA,2012,290729554,0.382801197174868,33819.357386831725,40.504762653986575,1.4244788189444535,Low Income
109,Nigeria,NGA,2013,172070469,0.6266835104246005,24893.97319979818,29.721077625641268,1.1667475840061527,Upper Middle Income
110,Nigeria,NGA,2014,62180279,0.5741967458589678,18371.257886419917,32.207185762278435,3.5681992469939456,Lower Middle Income
111,Nigeria,NGA,2015,14366784,0.517110246012809,55253.19462552793,57.25362698808533,2.898567522218464,Upper Middle Income
112,Nigeria,NGA,2016,27326266,0.356083375900992,35659.7395604181,21.429429411137008,3.623591340892343,Upper Middle Income
113,Nigeria,NGA,2017,37229959,0.3796834625465425,52632.02335119203,22.54456141588881,3.719069938034203,Lower Middle Income
114,Nigeria,NGA,2018,147620513,0.5209960606070521,23148.305330569343,23.344080943154456,3.627781468285012,Lower Middle Income
115,Nigeria,NGA,2019,209660435,0.2118557859953494,32785.080675083576,28.69560481969901,4.891748193808553,Lower Middle Income
116,Nigeria,NGA,2020,249851048,0.6392173712411013,50101.79284646074,31.00630694978904,2.9931513186985867,High Income
117,Nigeria,NGA,2021,194386460,0.3313401490491687,56419.54034936117,40.3937508813525,1.415374263082419,Lower Middle Income
118,Nigeria,NGA,2022,127938866,0.2016188556269383,25173.91600726318,56.08473186990515,1.6888232745368867,Low Income
119,Nigeria,NGA,2023,310328219,0.4910576953325418,40481.61843502206,36.21739931466837,3.080854014858854,Upper Middle Income
120,China,CHN,2000,73880810,0.3199036164919988,65663.80216663209,23.24210236212894,3.4462456095368443,Lower Middle Income
121,China,CHN,2001,110954710,0.3129374139378309,18800.31756940168,42.32075153230765,4.403082180591977,Upper Middle Income
122,China,CHN,2002,247377146,0.4453072088646902,30826.887083936206,49.79399130591423,3.361080133800592,Lower Middle Income
123,China,CHN,2003,70601778,0.5555309422788366,44309.003884874524,58.66011652177205,2.3282812192572666,Lower Middle Income
124,China,CHN,2004,198087536,0.5417184728918493,7198.585297967813,55.198278263458334,4.637629133570382,Lower Middle Income
125,China,CHN,2005,93908239,0.2798411357431638,10490.416909441155,33.126141893380975,4.237547883933342,High Income
126,China,CHN,2006,237375638,0.3478426122076076,62253.09177699735,28.671928164754306,1.146485174483276,Low Income
127,China,CHN,2007,112569945,0.5824815738839111,54892.24392332402,46.49353854995035,2.043548351448858,Low Income
128,China,CHN,2008,191175403,0.3410405057954637,2486.464353870348,35.153672853654214,2.4114360221405824,High Income
129,China,CHN,2009,234746408,0.2282601686860428,13858.557574410746,53.98652105683296,1.8917896437935575,Lower Middle Income
130,China,CHN,2010,134535180,0.2918472682953668,60498.31647980859,57.06009721789201,1.9298114746954595,Upper Middle Income
131,China,CHN,2011,34074019,0.2670818515721803,67501.71368271981,38.43074362358189,4.482212999324119,High Income
132,China,CHN,2012,277454278,0.4259339499133185,12703.493231644745,50.22999377796639,2.9796302682658,High Income
133,China,CHN,2013,211803935,0.2926118219682245,40540.40196287789,56.28868344603419,3.584451848418664,Low Income
134,China,CHN,2014,244804329,0.3688284661870891,41977.56455262696,55.74187426785255,4.724905462136639,Upper Middle Income
135,China,CHN,2015,313406296,0.2337405023997716,68241.13378639796,41.39288106615128,4.366152295082242,High Income
136,China,CHN,2016,161625118,0.3281294194898375,59246.4637745564,41.638880965070506,2.6615391013783465,Lower Middle Income
137,China,CHN,2017,193192330,0.5764539116486855,11445.85761204629,54.96094679785723,2.2505687523527205,High Income
138,China,CHN,2018,254199787,0.311396476298486,4608.769473491415,29.27633561602335,4.390487943659988,Upper Middle Income
139,China,CHN,2019,213945562,0.3360617052851177,24731.172291157705,36.47952667531536,3.797443374608388,Upper Middle Income
140,China,CHN,2020,343855053,0.4809514322914009,35506.046876566164,33.769664875268,1.7089847995841776,High Income
141,China,CHN,2021,210149205,0.2486405821741503,1731.9685431208254,39.68204488145773,1.9040882258092409,Lower Middle Income
142,China,CHN,2022,103999127,0.5000144488463243,55280.75695859818,41.259617647424136,4.07531887629002,Low Income
143,China,CHN,2023,251205373,0.49134387670606,36335.3235525901,42.02915333823896,1.7129493204429416,Upper Middle Income
144,United Kingdom,GBR,2000,234316070,0.552367516493047,46250.47356693295,45.39164569334064,1.8852568753718224,High Income
145,United Kingdom,GBR,2001,59439660,0.587799740486211,3554.7173450143296,27.357418546550758,4.399101718088373,Lower Middle Income
146,United Kingdom,GBR,2002,211903037,0.2933194340707682,26783.562975365126,37.00322728397824,2.85270919142025,Lower Middle Income
147,United Kingdom,GBR,2003,168131654,0.5986888300280194,16515.09708658851,54.37658751820721,2.8538383622577235,High Income
148,United Kingdom,GBR,2004,21591036,0.5582926811219155,54316.8309909039,46.112579295020375,3.0285864540494223,Low Income
149,United Kingdom,GBR,2005,290405107,0.3777694944201596,20575.80503057198,41.5954701561126,2.702029476949475,Lower Middle Income
150,United Kingdom,GBR,2006,146455983,0.5538658335711967,31650.802373518705,26.261066791577665,1.6383354323469486,Lower Middle Income
151,United Kingdom,GBR,2007,17231386,0.399103276266023,61479.68300711906,21.8353820889053,4.715685018322638,High Income
152,United Kingdom,GBR,2008,112658782,0.4001962124066381,15270.348666543014,28.855627661650416,2.4945982842310737,Upper Middle Income
153,United Kingdom,GBR,2009,342125069,0.5306295962613715,16857.42577908099,31.332370076852165,3.810189192149093,Lower Middle Income
154,United Kingdom,GBR,2010,333752394,0.5416457807988988,64999.164262539496,24.20757787610332,4.382258143335265,Lower Middle Income
155,United Kingdom,GBR,2011,272951834,0.566183550734683,36393.70837039264,25.36594129895039,4.401720394340448,High Income
156,United Kingdom,GBR,2012,120930649,0.442128071951573,30233.585481119742,35.39326017474126,1.708386305735,Lower Middle Income
157,United Kingdom,GBR,2013,231396548,0.2155593565538485,30976.14752104922,45.33966906082066,3.166483849217807,Lower Middle Income
158,United Kingdom,GBR,2014,161938266,0.5655144838727177,66039.0437344744,23.944040250121155,3.75250758285916,Upper Middle Income
159,United Kingdom,GBR,2015,292129624,0.5234857583643041,46549.63099112634,23.64116189434865,2.360388565999889,Upper Middle Income
160,United Kingdom,GBR,2016,67370335,0.5898193848037352,68949.25982213383,25.98552155834197,4.986442618589146,Low Income
161,United Kingdom,GBR,2017,219319827,0.3534083368429673,44309.85879973496,58.78101066609937,3.548178279954515,Upper Middle Income
162,United Kingdom,GBR,2018,272987745,0.2766817101303849,35127.17914244116,20.63326917744956,1.632064906239949,High Income
163,United Kingdom,GBR,2019,75202781,0.5469486056822399,17772.90977053728,56.932751221393765,3.447543648909262,High Income
164,United Kingdom,GBR,2020,266961456,0.3383342624809038,59303.08928534629,49.65416756650505,1.892275518526688,High Income
165,United Kingdom,GBR,2021,153164732,0.4302311198014903,22259.108398575136,30.22571280464588,1.0226577619694357,Upper Middle Income
166,United Kingdom,GBR,2022,192640036,0.4127669006508827,29929.39779952685,56.72144187378552,2.45917294540509,High Income
167,United Kingdom,GBR,2023,346569070,0.298397052202306,13593.318246298088,42.33017145286901,4.151705391755348,Upper Middle Income
168,Russia,RUS,2000,61694501,0.2664762602359213,61769.17426230483,28.26571433204552,2.256301620205373,Upper Middle Income
169,Russia,RUS,2001,337942284,0.5637898946204998,10662.496438970917,45.74098554400053,3.257263037924236,Low Income
170,Russia,RUS,2002,62987676,0.6095322533728473,23152.30572961304,48.95917420534322,4.569081590575348,Lower Middle Income
171,Russia,RUS,2003,121675612,0.5241560336313498,15814.451476195063,48.214498476908346,4.752868485730741,Low Income
172,Russia,RUS,2004,44771526,0.532697268574434,54249.39506863106,38.29019011708354,3.6048299981911263,High Income
173,Russia,RUS,2005,308674921,0.2572285563364679,69228.67726259473,43.66118809538331,3.8893106018331447,Lower Middle Income
174,Russia,RUS,2006,24699414,0.4529591614270931,30323.06896949462,26.973519104484133,4.933014247145055,Lower Middle Income
175,Russia,RUS,2007,177125722,0.4320535198587647,58695.72274321174,50.09336875709599,3.832684975115086,Upper Middle Income
176,Russia,RUS,2008,264986179,0.5381822110128969,22662.4140747818,39.10758395013157,4.453754977795163,High Income
177,Russia,RUS,2009,347898848,0.4353765903611377,24654.42832498342,53.57715176511506,1.9554069004548216,Lower Middle Income
178,Russia,RUS,2010,179369977,0.5007130076693869,57422.49176232862,42.25665480351973,3.119782314969527,High Income
179,Russia,RUS,2011,186015562,0.2282444273754386,29445.522476509974,43.53785610873203,1.92553589784766,High Income
180,Russia,RUS,2012,22604464,0.5230695255137383,48522.133455471216,54.29540876469172,4.867770916156845,High Income
181,Russia,RUS,2013,145148039,0.3722097092172193,7518.976527205029,31.426718838849187,2.5297632325428445,Lower Middle Income
182,Russia,RUS,2014,123990657,0.4133649195983579,29097.07028826764,24.69590569062001,4.538511740831603,Upper Middle Income
183,Russia,RUS,2015,295217705,0.4429415721726634,7970.277964312519,59.93916812011683,4.497758299557287,Lower Middle Income
184,Russia,RUS,2016,185042229,0.2662662768213819,65712.51797553254,57.90929738202514,4.86052922842346,Upper Middle Income
185,Russia,RUS,2017,195481950,0.4493065167692276,49666.15973778607,41.70620148298968,2.0789329541655097,Lower Middle Income
186,Russia,RUS,2018,281186938,0.3769372695136834,37267.07756328465,29.054749087639724,3.599625873313989,Low Income
187,Russia,RUS,2019,249129185,0.6167304091145367,22994.250269586824,44.60047311467262,2.857489468200125,High Income
188,Russia,RUS,2020,21354867,0.3704356994956388,20044.275229830426,46.29412693846802,2.128448445532735,Low Income
189,Russia,RUS,2021,108900083,0.2373147569934619,44911.94585097258,56.3726998642249,2.904300333680748,High Income
190,Russia,RUS,2022,346630522,0.3207206198350315,19456.124058651298,28.590549583425524,2.9107358962433083,High Income
191,Russia,RUS,2023,168866843,0.3510277825341195,50681.533485784246,22.8137191975804,3.193269077447835,Lower Middle Income
192,Japan,JPN,2000,167865327,0.2789523989483369,49518.83334451879,58.74331341140589,3.63995020811206,Low Income
193,Japan,JPN,2001,232301573,0.635745561034281,12581.83052335891,34.70653987954609,1.7030552156415824,Low Income
194,Japan,JPN,2002,8704917,0.6452613047034499,64479.937785178925,41.0693392418973,4.263540415565524,Low Income
195,Japan,JPN,2003,121119256,0.3686426023973554,27304.584249359603,22.56861302942904,4.787357966423945,Lower Middle Income
196,Japan,JPN,2004,30561711,0.4642171472806983,16945.46448246646,23.699762433383093,4.39108719842582,Upper Middle Income
197,Japan,JPN,2005,113803878,0.3678135598350258,62458.07967685221,59.92450327387437,1.445241598228248,Upper Middle Income
198,Japan,JPN,2006,349176812,0.5742215548206833,46523.3774023848,39.62759824386161,2.288015784164698,Low Income
199,Japan,JPN,2007,166540585,0.3730017199671756,24991.460763666622,50.92827705619556,2.006831837658034,Low Income
200,Japan,JPN,2008,21240082,0.4563581354312482,10173.94724667415,49.713912189319245,4.77287903903033,High Income
201,Japan,JPN,2009,117895630,0.4897348418315837,8452.336729847015,23.262135461663025,2.86050483480129,Upper Middle Income
202,Japan,JPN,2010,72601258,0.4796151998692675,55328.73776286819,23.34430601190733,4.248559065243404,High Income
203,Japan,JPN,2011,325194040,0.2188918145554733,24801.305578327057,38.45110063845194,2.0584741165591187,Low Income
204,Japan,JPN,2012,101031220,0.4049015430258712,48198.12327773395,50.004638054492375,1.2536033024963866,Lower Middle Income
205,Japan,JPN,2013,339329553,0.2713160390212338,29668.37184056077,48.36305300449407,2.750698436908216,Upper Middle Income
206,Japan,JPN,2014,63683985,0.4008846433054439,66527.10320737975,54.94830758378426,1.139053807002934,Upper Middle Income
207,Japan,JPN,2015,126269240,0.3140673142303709,61198.381164235245,31.717902596115817,4.185662956651832,Low Income
208,Japan,JPN,2016,167456071,0.3917211260817737,9017.810996540851,37.911495634094365,4.807783436247699,Upper Middle Income
209,Japan,JPN,2017,54209245,0.5121153905443032,14320.779001386229,51.0119797459904,2.980215137643903,High Income
210,Japan,JPN,2018,343059148,0.5005614660526903,31216.98290322063,38.14688256476409,2.8842777654314538,Upper Middle Income
211,Japan,JPN,2019,156884110,0.5913318603960527,17028.056319122166,36.82942443811764,4.608226281761157,Low Income
212,Japan,JPN,2020,345629247,0.250897231355692,63978.922017606485,31.613249848558592,3.066174190371687,Lower Middle Income
213,Japan,JPN,2021,56657925,0.5308459583917652,1815.6044132128395,34.456925004400816,2.490181047568431,Lower Middle Income
214,Japan,JPN,2022,33536663,0.4176689764369782,27141.122884932625,40.57368780137882,1.9994416229198129,Lower Middle Income
215,Japan,JPN,2023,203341977,0.5393702047538433,63025.98863406992,28.67955293724637,4.381948168384952,High Income
216,South Africa,ZAF,2000,28643552,0.5704453029793928,52012.478218648364,42.258936505732336,3.19554808437214,High Income
217,South Africa,ZAF,2001,84978576,0.2709908849921936,1082.6777840582736,21.74117043843282,1.7180510035410763,Upper Middle Income
218,South Africa,ZAF,2002,299578994,0.2065016735714425,45868.46074823156,55.21208906990707,3.963464985322339,High Income
219,South Africa,ZAF,2003,55414728,0.4759651328816833,33925.70868533466,46.05065148352061,2.2240305102559565,Lower Middle Income
220,South Africa,ZAF,2004,14004304,0.2785980553406736,33933.60456994196,28.61022267603151,2.741516223895065,Lower Middle Income
221,South Africa,ZAF,2005,345482097,0.2099877442061544,38382.73796404303,24.486157942503414,4.274109933920027,High Income
222,South Africa,ZAF,2006,52941162,0.4050334404088146,40535.96093810974,41.68248644377179,3.2861122172061683,High Income
223,South Africa,ZAF,2007,279749318,0.5402849416620269,22080.08649809151,47.81276900539765,2.6692381054668988,Upper Middle Income
224,South Africa,ZAF,2008,284667256,0.3291622291396961,69663.98534236706,46.53998969540129,1.8520457390715,Lower Middle Income
225,South Africa,ZAF,2009,169494954,0.3027877585761428,41980.289979370886,31.37009760949664,3.686189245511728,Low Income
226,South Africa,ZAF,2010,36859402,0.5063982207101523,43036.837482906805,59.237221842769074,1.9088496191537927,Upper Middle Income
227,South Africa,ZAF,2011,246858672,0.5461692251795822,1161.4210506753748,34.418275703191114,3.617951798354819,High Income
228,South Africa,ZAF,2012,173856822,0.6315486162201327,22126.78527517937,57.58815381546168,1.2943776841501542,Lower Middle Income
229,South Africa,ZAF,2013,15423704,0.4438172830036321,68209.91260375462,35.843834554931526,3.6441016414179273,Low Income
230,South Africa,ZAF,2014,110948910,0.366766139862726,14396.99978117002,28.613303048476304,4.881175340946151,Upper Middle Income
231,South Africa,ZAF,2015,219843596,0.3776226667606847,4443.139626308619,30.13425785104716,3.872068964571073,Upper Middle Income
232,South Africa,ZAF,2016,12350423,0.6186571294088061,68033.22976652448,30.986551671438782,3.738989408813653,Lower Middle Income
233,South Africa,ZAF,2017,223700898,0.2689607416402259,43250.37033587888,27.13799994619493,4.037576269982351,Low Income
234,South Africa,ZAF,2018,142431738,0.5039647855295728,64833.51742838424,59.13801777999811,2.4087471588152,Low Income
235,South Africa,ZAF,2019,31800236,0.614774016919214,1031.4591112308883,45.00286291274547,2.8134757156303043,Upper Middle Income
236,South Africa,ZAF,2020,293900945,0.3381009203048551,46989.16867317269,29.89887279843903,1.1595206201218025,Low Income
237,South Africa,ZAF,2021,223322985,0.3577446877346437,46885.98836709484,37.55361134872415,4.746529292477785,Lower Middle Income
238,South Africa,ZAF,2022,185307831,0.4882622882417653,24900.69845471112,53.541196905511626,1.540618395235545,Lower Middle Income
239,South Africa,ZAF,2023,21311510,0.4817288576574705,36462.62897498592,40.20588608500806,4.729326055929638,Lower Middle Income
240,Canada,CAN,2000,18836823,0.4822867346412329,28135.961878946186,31.652145072543657,1.0337124720736206,Lower Middle Income
241,Canada,CAN,2001,315328498,0.4557417993694589,13457.078143432143,29.75367807236252,2.623435902512917,Upper Middle Income
242,Canada,CAN,2002,172800691,0.628327914975521,63847.12406043028,20.731144562414627,2.5367269154373924,Low Income
